coursecode,name,department,prereqcode,coreqcode
ECH 4744,Pharmaceutical Bioengineering,Chemical Engineering,BME 2402; BSC 2010; CHM 2046; CHM 2096; CHM 2051,
ECH 4824,Materials of Chemical Engineering,Chemical Engineering,ECH 3264,
ECH 4827,Processing of Complex Fluids,Chemical Engineering,ECH 3203; ECH 3223; ECH 4123; ECH 4824,
ECH 4905,Special Problems in Chemical Engineering,Chemical Engineering,,
ECH 4912,Integrated Product and Process Design 1,Chemical Engineering,,
ECH 4913,Integrated Product and Process Design 2,Chemical Engineering,,
ECH 4944,Practical Work in Chemical Engineering,Chemical Engineering,,
ECH 4948,Internship Work Experience,Chemical Engineering,,
ECH 4949,Co-op Work Experience,Chemical Engineering,,
EEE 2000,Technology and Its Impact on Society,Electrical & Computer Engineering,,
EEE 3308C,Electronic Circuits 1,Electrical & Computer Engineering,EEL 3111C,
EEE 3396,Solid-State Electronic Devices,Electrical & Computer Engineering,EEL 3008,
EEE 3773,Introduction to Machine Learning,Electrical & Computer Engineering,EEL 3135,
EEE 4222,Resonant MEMS,Electrical & Computer Engineering,EEE 3396C,
EEE 4260,Bioelectrical Systems,Electrical & Computer Engineering,,
EEE 4306,Electronic Circuits 2,Electrical & Computer Engineering,EEE 3308C; EEL 3008; EEL 3112,
EEE 4310,VLSI Circuits and Technology 1,Electrical & Computer Engineering,EEE 3308C; EEL 3701C,
EEE 4329,Future of Microelectronics Technology,Electrical & Computer Engineering,EEE 3396C,
EEE 4331,Microelectronic Fabrication Technologies,Electrical & Computer Engineering,EEE 3396C,
EEE 4373,Radio Frequency Integrated Circuits 1,Electrical & Computer Engineering,EEE 3308C,
EEE 4375,Introduction to RF Circuits,Electrical & Computer Engineering,EEE 3308C; EEL 3472,
EEE 4404,Mixed Signal IC Testing I,Electrical & Computer Engineering,EEE 3308C; EEL 3701C,
EEE 4414,Modern Memory Device Technologies,Electrical & Computer Engineering,EEE 3396C,
EEE 4420,Introduction to Nanodevices,Electrical & Computer Engineering,EEE 3396C,
EEE 4423,Introduction to Quantum Computing,Electrical & Computer Engineering,EEE 3396; MAS 3114; EEL 3850,
EEE 4511C,Real Time Digital Signal Processing Applications,Electrical & Computer Engineering,EEL 3135,
EEE 4701,Automated Hardware/Software Verification,Electrical & Computer Engineering,COP 3530,
EEE 4714,Introduction to Hardware Security and Trust,Electrical & Computer Engineering,EEL 4712C,
EEE 4720,Acoustics,Electrical & Computer Engineering,MAP 2302; EEL 3111C; EEL 3003,
EEE 4740,Physical Attacks and Inspection of Electronics,Electrical & Computer Engineering,,
EEE 4773,Fundamentals of Machine Learning,Electrical & Computer Engineering,EEL 3135; EEL 3850,
EEE 4800,"Neural Signals, Systems, and Technology",Electrical & Computer Engineering,EEL 3850,
EEL 3000,Introduction to Electrical Engineering,Electrical & Computer Engineering,MAC 2311,
EEL 3003,Elements of Electrical Engineering,Engineering (General),MAC 2313; PHY 2049,
EEL 3008,Physics of Electrical Engineering,Electrical & Computer Engineering,EEL 3111C; MAC 2313; MAP 2302,
EEL 3111C,Circuits 1,Electrical & Computer Engineering,MAC 2312; PHY 2049,
EEL 3112,Circuits 2,Electrical & Computer Engineering,EEL 3000; EEL 3111C; EGN 2020C; MAP 2302,
EEL 3135,Introduction to Signals and Systems,Electrical & Computer Engineering,MAC 2313,
EEL 3211C,Basic Electric Energy Engineering,Electrical & Computer Engineering,EEL 3008,
EEL 3402,"Remote Sensing in Engineering: Science, Sensors and Applications",Electrical & Computer Engineering,MAP 2302,
EEL 3472,Fundamentals of Electromagnetic Fields,Electrical & Computer Engineering,EEL 3008,
EEL 3701C,Digital Logic and Computer Systems,Electrical & Computer Engineering,,
EEL 3834,Programming for Electrical Engineering 1,Electrical & Computer Engineering,,
EEL 3850,Data Science for ECE,Electrical & Computer Engineering,MAC 2312,
EEL 3872,Artificial Intelligence Fundamentals,Engineering (General),,
EEL 3923C,Electrical Engineering Design 1,Electrical & Computer Engineering,EEE 3308C; EEL 3112; EEL 3701C,
EEL 4242C,Power Electronic Circuits,Electrical & Computer Engineering,EEL 3308,
EEL 4248,Fundamentals of RF and Power Electronic Devices,Electrical & Computer Engineering,EEE 3396C,
EEL 4251,Power System Analysis,Electrical & Computer Engineering,EEL 3211C,
EEL 4271,Power System Protection,Electrical & Computer Engineering,EEL 4251,
EEL 4287,Smart Grid for Sustainable Energy,Electrical & Computer Engineering,EEL 4657C,
EEL 4403,Computational Photography,Electrical & Computer Engineering,EEL 3135,
EEL 4412,Applied Magnetics and Magnetic Materials,Electrical & Computer Engineering,EEL 3008,
EEL 4421,RF/Microwave Passive Circuits,Electrical & Computer Engineering,EEL 3472C,
EEL 4440,Optical Communication Systems,Electrical & Computer Engineering,EEE 3396C; EEL 3472C,
EEL 4446,Laser Theory and Design,Electrical & Computer Engineering,EEL 3008,
